painting,paintingLabel,height,width,creationYear,countryLabel,materialLabel,authorLabel
http://www.wikidata.org/entity/Q2631335,Мадонна с рыбой,215,158,1513,Испания,масляные краски,Рафаэль Санти
http://www.wikidata.org/entity/Q2631335,Мадонна с рыбой,215,158,1513,Испания,панель,Рафаэль Санти
http://www.wikidata.org/entity/Q2665840,Пьета,352,349,1575,Италия,масляные краски,Тициан
http://www.wikidata.org/entity/Q2713823,Portrait of a Young Man with an Apple,48,35.5,1504,Италия,масляные краски,Рафаэль Санти
http://www.wikidata.org/entity/Q2713823,Portrait of a Young Man with an Apple,48,35.5,1504,Италия,панель,Рафаэль Санти
http://www.wikidata.org/entity/Q2665840,Пьета,352,349,1575,Италия,холст,Тициан
http://www.wikidata.org/entity/Q2711706,Диптих Мартина ван Ньювенхове,44.7,67,1487,Бельгия,масляные краски,Ганс Мемлинг
http://www.wikidata.org/entity/Q2711706,Диптих Мартина ван Ньювенхове,44.7,67,1487,Бельгия,панель,Ганс Мемлинг
http://www.wikidata.org/entity/Q2727560,Обезглавливание Иоанна Крестителя,361,520,1608,Мальта,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2635552,Portrait of Cardinal Alessandro Farnese,139,91,1509,Италия,масляные краски,Рафаэль Санти
http://www.wikidata.org/entity/Q2635552,Portrait of Cardinal Alessandro Farnese,139,91,1509,Италия,панель,Рафаэль Санти
http://www.wikidata.org/entity/Q2727560,Обезглавливание Иоанна Крестителя,361,520,1608,Мальта,холст,Караваджо
http://www.wikidata.org/entity/Q2734892,Женщины в саду,255,205,1866,Франция,масляные краски,Клод Моне
http://www.wikidata.org/entity/Q2629715,Мужской портрет,46,31,1503,Италия,масляные краски,Рафаэль Санти
http://www.wikidata.org/entity/Q2629715,Мужской портрет,46,31,1503,Италия,панель,Рафаэль Санти
http://www.wikidata.org/entity/Q2610936,Юноша с корзиной фруктов,70,67,1594,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2734892,Женщины в саду,255,205,1866,Франция,холст,Клод Моне
http://www.wikidata.org/entity/Q2665840,Пьета,352,349,1575,Италия,масляные краски,"Пальма, Якопо (Младший)"
